Algorithm,Scenario,Input Size,Steps,Execution Time (ms),Asymptotic Notation
Counting Sort,reversed,4000,52004,1.4133453369140625,O(n + k)

Bubble Sort,sorted,5000,5000,0.32591819763183594,O(n^2)
Insertion Sort,sorted,5000,14997,0.6031990051269531,O(n^2)
Merge Sort,sorted,5000,217428,7.314920425415039,O(n log n)
Quick Sort,sorted,5000,173178,5.629062652587891,"O(n log n) (avg), O(n^2) (worst)"
Heap Sort,sorted,5000,477540,14.518022537231445,O(n log n)
Selection Sort,sorted,5000,12512500,696.786642074585,O(n^2)
Radix Sort,sorted,5000,165120,7.322072982788086,O(n * d)
Counting Sort,sorted,5000,65004,1.585245132446289,O(n + k)

Bubble Sort,random,5000,31224527,1448.0218887329102,O(n^2)
Insertion Sort,random,5000,12496349,599.1253852844238,O(n^2)
Merge Sort,random,5000,240614,10.718584060668945,O(n log n)
Quick Sort,random,5000,178718,6.04557991027832,"O(n log n) (avg), O(n^2) (worst)"
Heap Sort,random,5000,444594,12.831449508666992,O(n log n)
Selection Sort,random,5000,12547149,636.1770629882812,O(n^2)
Radix Sort,random,5000,165120,7.953643798828125,O(n * d)
Counting Sort,random,5000,65004,1.9824504852294922,O(n + k)

Bubble Sort,reversed,5000,49994999,2089.259147644043,O(n^2)
Insertion Sort,reversed,5000,25009997,1826.0366916656494,O(n^2)
Merge Sort,reversed,5000,215228,16.121387481689453,O(n log n)
Quick Sort,reversed,5000,119442,9.910345077514648,"O(n log n) (avg), O(n^2) (worst)"
Heap Sort,reversed,5000,413400,36.0260009765625,O(n log n)
Selection Sort,reversed,5000,18762500,929.304838180542,O(n^2)
Radix Sort,reversed,5000,165120,7.820606231689453,O(n * d)
Counting Sort,reversed,5000,65004,1.966714859008789,O(n + k)

